"sample","virus","uniquely_mapped_reads","num_genes","top_genes"
"SRR22753365","EBV","0","0","NA"
"SRR22753365","HCMV","0","0","NA"
"SRR22753365","HSV1_KOS","0","0","NA"
"SRR22753365","HSV2_StrainG","0","0","NA"
"SRR22753365","KSHV","0","0","NA"
"SRR22753366","HCMV","0","0","NA"
"SRR22753366","HSV1_KOS","0","0","NA"
"SRR22753366","HSV2_StrainG","0","0","NA"
"SRR22753366","KSHV","0","0","NA"
"SRR22753367","HHV6B","0","0","NA"
"SRR22753367","HSV1_KOS","0","0","NA"
"SRR22753367","HSV2_StrainG","0","0","NA"
"SRR22753367","KSHV","0","0","NA"
"SRR22753368","HCMV","0","0","NA"
"SRR22753368","HHV6B","0","0","NA"
"SRR22753368","HSV1_KOS","0","0","NA"
"SRR22753368","HSV2_StrainG","0","0","NA"
"SRR22753368","KSHV","0","0","NA"
"SRR22753369","HCMV","0","0","NA"
"SRR22753369","HHV6B","0","0","NA"
"SRR22753369","HSV1_KOS","0","0","NA"
"SRR22753369","HSV2_StrainG","0","0","NA"
"SRR22753369","KSHV","0","0","NA"
"SRR22753370","HSV1_KOS","0","0","NA"
"SRR22753370","HSV2_StrainG","0","0","NA"
"SRR22753370","KSHV","0","0","NA"
"SRR22753371","HHV6B","0","0","NA"
"SRR22753371","HSV1_KOS","0","0","NA"
"SRR22753371","HSV2_StrainG","0","0","NA"
"SRR22753371","KSHV","0","0","NA"
"SRR22753372","HHV6B","0","0","NA"
"SRR22753372","HSV1_KOS","0","0","NA"
"SRR22753372","HSV2_StrainG","0","0","NA"
"SRR22753372","KSHV","0","0","NA"
"SRR22753373","HSV1_KOS","0","0","NA"
"SRR22753373","HSV2_StrainG","0","0","NA"
"SRR22753373","KSHV","0","0","NA"
"SRR22753374","HHV6B","0","0","NA"
"SRR22753374","HSV1_KOS","0","0","NA"
"SRR22753374","HSV2_StrainG","0","0","NA"
"SRR22753374","KSHV","0","0","NA"
"SRR22753375","HHV6B","0","0","NA"
"SRR22753375","HSV1_KOS","0","0","NA"
"SRR22753375","HSV2_StrainG","0","0","NA"
"SRR22753375","KSHV","0","0","NA"
"SRR22753376","HHV6B","0","0","NA"
"SRR22753376","HSV1_KOS","0","0","NA"
"SRR22753376","HSV2_StrainG","0","0","NA"
"SRR22753376","KSHV","0","0","NA"
"SRR22753377","HSV1_KOS","0","0","NA"
"SRR22753377","HSV2_StrainG","0","0","NA"
"SRR22753377","KSHV","0","0","NA"
"SRR22753378","HHV6B","0","0","NA"
"SRR22753378","HSV1_KOS","0","0","NA"
"SRR22753378","HSV2_StrainG","0","0","NA"
"SRR22753378","KSHV","0","0","NA"
